,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
6713,1186713247229104128,Tue Oct 22 18:37:40 +0000 2019,Shirovakk,,Tue Oct 22 18:36:02 +0000 2019,"RT @marrrrianela: Mira @sebastianpinera la media cagá que tienes D:
#QueSeVayanLosMilicos #EstoPasaEnChileً #PiñeraRenuncia https://t.co/Vw…",
6724,1186713249250791424,Tue Oct 22 18:37:41 +0000 2019,cotildada,"Kit's Coty, South East",,Suma y sigue @sebastianpinera! “Por sobretodo la gente joven protesta en Chile en contra de las injusticias sociale… https://t.co/kUBdWHbUZI,"Suma y sigue @sebastianpinera! “Por sobretodo la gente joven protesta en Chile en contra de las injusticias sociales. Los más viejos recuerdan en las calles a la dictadura.” Ya te quemaste loco, ahora renuncia! 
#piñeraraus #piñeradictador 
@schwarzEsnegro  @PamJiles"
6737,1186713252702457856,Tue Oct 22 18:37:42 +0000 2019,maverick2045,,Tue Oct 22 18:35:57 +0000 2019,"RT @SiempreFundida: Oye @sebastianpinera, ¡anda a mostrar el papelito al mundo ahora!

#CrisisEnChile #RenunciaPiñera 
#RebajaDietaParlamen…",
6741,1186713253289873409,Tue Oct 22 18:37:42 +0000 2019,_jcifuentes,"Concepción, Chile",Tue Oct 22 14:44:28 +0000 2019,"RT @TottiAlba: Alcalde de Curicó exige e estos momentos en @adnradiochile la renuncia de Ministro del Interior, x asesinato de Jose Miguel…",
6742,1186713253457682433,Tue Oct 22 18:37:42 +0000 2019,fantenorgonsalv,email: fantenorgonsalves@gmail,Tue Oct 22 17:06:42 +0000 2019,RT @MonkeyMan0681: #22Oct La Democracia 😱 impuesta por el genocida @sebastianpinera 🚨 incluye Tanques del @Ejercito_Chile y soldados armado…,
6763,1186713259841376256,Tue Oct 22 18:37:43 +0000 2019,cicovolche,,Tue Oct 22 11:52:29 +0000 2019,"RT @macarenasaav: Súper buen video para q los desclasados entiendan lo q pasa en chile y se dejen d hablar weas 

#renunciapineira
#FelizMa…",
6791,1186713268049600515,Tue Oct 22 18:37:45 +0000 2019,MaryDolo,Stgo,Tue Oct 22 11:52:29 +0000 2019,"RT @macarenasaav: Súper buen video para q los desclasados entiendan lo q pasa en chile y se dejen d hablar weas 

#renunciapineira
#FelizMa…",
6855,1186713282310213633,Tue Oct 22 18:37:49 +0000 2019,JavieraOcampo1,,Tue Oct 22 18:28:32 +0000 2019,RT @siempre_digna: Que se sepa #renunciapiñera y todo su séquito de inoperantes https://t.co/Ci7BK5GzwC,
6865,1186713285468606466,Tue Oct 22 18:37:49 +0000 2019,VdeV22449512,,Tue Oct 22 17:23:12 +0000 2019,"RT @dontknow505: #YaVan17Vidas
#QueSeVayanLosMilicos y ustedes también!!! 
@ceciperez1 @sebastianpinera @andreschadwickp @larra https://t.c…",
6883,1186713290677710849,Tue Oct 22 18:37:51 +0000 2019,lorito_rojo,,Tue Oct 22 16:19:33 +0000 2019,RT @4lp4c4_3: Por los 15 asesinatos y miles de víctimas de la Dictadura del cobarde Pinochetista @sebastianpinera y sus cobarde lacayos y p…,
6888,1186713291642560513,Tue Oct 22 18:37:51 +0000 2019,x_avci,,,@sebastianpinera Chupalo Piñera culiao teni' la cagada en el país! #RenunciaPiñera #RenunciaPiñera,
6892,1186713292355637250,Tue Oct 22 18:37:51 +0000 2019,DouthitMonica,United States,Tue Oct 22 18:24:42 +0000 2019,"RT @claudiax_pi: Finalmente tienen nombre, algunos.
#RenunciaPiñeraCuliao #renunciapiñera #EstoPasaEnChile #gobiernoasesino https://t.co/H3…",
6893,1186713291546071040,Tue Oct 22 18:37:51 +0000 2019,pmjc17,Chile,,@marceloandres88 @El_Ciudadano @sebastianpinera Gobierno de Mierda !!! 😤 #RenunciaPiñera #ChileDesperto https://t.co/e7XdpkoHmg,
6907,1186713295941783557,Tue Oct 22 18:37:52 +0000 2019,lonelywhalixn,"Santiago, Chile",Tue Oct 22 18:02:49 +0000 2019,"RT @patricia__sol: mientras @sebastianpinera dice q estamos n guerra, cabr@s d Concepción arman su propia fiesta y s refrescan gracias al g…",
6918,1186713299435610112,Tue Oct 22 18:37:53 +0000 2019,fernandadel8,"Santiago, Chile",Tue Oct 22 18:23:38 +0000 2019,RT @APaoGamboa: Que rabia el gobierno esta siendo testigo de mentiras y montajes #pinerarenuncia #fueramosmilicos #estopasaenchile #latvmie…,
6934,1186713301926977536,Tue Oct 22 18:37:53 +0000 2019,MirandHero,,,@PCdeChile @sebastianpinera @gteillier @lautarocarmona @PC_JAL @MarcosBarrazaG @daniel_nunez_a @nataliacuevasg… https://t.co/gmfiIpYaYP,@PCdeChile @sebastianpinera @gteillier @lautarocarmona @PC_JAL @MarcosBarrazaG @daniel_nunez_a @nataliacuevasg @carmen_hertz @AlePlacenciaC @Prensa_Karol @Claudina_PAC #EstoPasaEnChile un partido comunista que es parte del problema ayudando a #polarizar y no a construir un diálogo #ChileQuierePaz
6937,1186713302568767490,Tue Oct 22 18:37:54 +0000 2019,hguzmanp,Residencia Isla Friendship,Mon Oct 21 21:24:31 +0000 2019,"RT @MarceCubillosH: Renuncia care rajaaaa!!!
#renunciachadwic
#RenunciaPiñeraCuliao
#RenunciaPiñera https://t.co/vgOz4xoIZm",
6945,1186713306356158464,Tue Oct 22 18:37:54 +0000 2019,Andrsdelpozo1,,,"Charter para toda la Elite a sus paraísos fiscales 
#FueraPiñera 
#pinerarenuncia 
#RenunciaPiñera… https://t.co/Y6RXbgRD8Z","Charter para toda la Elite a sus paraísos fiscales 
#FueraPiñera 
#pinerarenuncia 
#RenunciaPiñera 
#QueSevallanLosMilicos 
#ParoNacional 
#ParoNacionalDocente"
6989,1186713320335839233,Tue Oct 22 18:37:58 +0000 2019,CynthiaSanhueza,,Tue Oct 22 01:55:06 +0000 2019,RT @monlaferte: Que esperas? @sebastianpinera el mundo te está observando #Piñeradictador,
6995,1186713321090797570,Tue Oct 22 18:37:58 +0000 2019,lou_084,punta arenas -chile,,#QueSeVayanLosMilicos a piñera vera lo q sucede el plaza italia ! ?,
7051,1186713335682781185,Tue Oct 22 18:38:01 +0000 2019,eguerrac,,Tue Oct 22 11:52:29 +0000 2019,"RT @macarenasaav: Súper buen video para q los desclasados entiendan lo q pasa en chile y se dejen d hablar weas 

#renunciapineira
#FelizMa…",
7087,1186713345753260042,Tue Oct 22 18:38:04 +0000 2019,VickyMahiet,Los Cocos Córdoba,Tue Oct 22 16:08:51 +0000 2019,"RT @Tania_Tania_C: Váyase, .@sebastianpinera. https://t.co/6KYaNQM6iG",
